id,timestamp,severidade,tipo_evento,status_sistema,ip_origem,parecer_soc,compliance_lgpd,acao_soar_gerada,analise_trafego,modelo_ia_utilizado,relatorio_normativo,log_raw,origem
146,2026-09-01 23:55:05,INFO,Sem novos eventos de log,OPERACIONAL,192.168.15.3,Nenhum evento de log detectado.,Auditado (Artigo 46 - Medidas de Segurança / ISO 27001 A.9.4.1),Sessão Monitorada,Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Sondagem desativada ou ignorada para IP Local.,qwen2.5:3b,"• Parecer SOC: Nenhum evento de log detectado.
• Enquadramento Legal: Artigo 46 - Medidas de Segurança
• Controle Normativo: ISO 27001 A.9.4.1
• Automação Sugerida: sudo ufw deny from 192.168.15.3 to any",Nenhum novo evento de log detectado no servidor.,Linux Ubuntu Target (Idle)
145,2026-09-01 23:50:52,MEDIO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.1,Acesso SSH sem autenticação de usuário.,Auditado (Artigo 46 - Medidas de Segurança / ISO 27001 A.9.4.1),Sessão Monitorada,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"• Parecer SOC: Acesso SSH sem autenticação de usuário.
• Enquadramento Legal: Artigo 46 - Medidas de Segurança
• Controle Normativo: ISO 27001 A.9.4.1
• Automação Sugerida: sudo ufw deny from 192.168.15.1 to any",Accepted publickey for servidor from 192.168.15.1 port 30227 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
144,2026-09-01 21:35:22,INFO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.1,"Um usuário foi aceito com uma chave pública SSH de uma nova conexão TCP/IP de origem do IP 192.168.15.1. Isso indica que um novo dispositivo ou usuário pode ter sido autorizado a se conectar ao host 192.168.15.3, mas não indica atividade suspeita ou potencialmente maliciosa.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"Parecer: Um usuário foi aceito com uma chave pública SSH de uma nova conexão TCP/IP de origem do IP 192.168.15.1. Isso indica que um novo dispositivo ou usuário pode ter sido autorizado a se conectar ao host 192.168.15.3, mas não indica atividade suspeita ou potencialmente maliciosa.
Recomendação: Verificar a lista de hosts autorizados no firewall para confirmar se 192.168.15.1 está na lista. Se não estiver, verificar a configuração de SSH para garantir que a conexão foi realmente permitida e não uma vulnerabilidade.",Accepted publickey for servidor from 192.168.15.1 port 50726 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
143,2026-09-01 21:34:27,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,192.168.15.1,"O evento de segurança no host 192.168.15.3 registrou uma tentativa de login falhada para o usuário root, que é um usuário considerado inválido. A tentativa veio de uma IP externa (192.168.15.1), que pertence a uma rede local (LAN), indicando possivelmente um ataque de força bruta. Este tipo de tentativa é altamente suspeita e deve ser investigado de imediato.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"Parecer: O evento de segurança no host 192.168.15.3 registrou uma tentativa de login falhada para o usuário root, que é um usuário considerado inválido. A tentativa veio de uma IP externa (192.168.15.1), que pertence a uma rede local (LAN), indicando possivelmente um ataque de força bruta. Este tipo de tentativa é altamente suspeita e deve ser investigado de imediato.
Recomendação: Bloquear o IP originador de tentativas de login falhadas e realizar uma análise de segurança profunda para identificar se há outros dispositivos vulneráveis. Implementar medidas de segurança adicionais como força de autenticação e/ou autenticação de dois fatores para aumentar a segurança do host.",Failed password for invalid user root from 192.168.15.1 port 54528 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
142,2026-09-01 21:33:33,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,192.168.15.1,"O evento de segurança no host 192.168.15.3 registrou um falha de conexão SSH para o usuário root de uma conexão remota proveniente de 192.168.15.1 (IP Origem), port 51978. Esta é uma atividade suspeita de tentativa de login inválida.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"Parecer: O evento de segurança no host 192.168.15.3 registrou um falha de conexão SSH para o usuário root de uma conexão remota proveniente de 192.168.15.1 (IP Origem), port 51978. Esta é uma atividade suspeita de tentativa de login inválida.
Recomendação: Implementar um bloqueio temporário para o IP 192.168.15.1 para prevenir futuras tentativas de login não autorizadas e atualizar as senhas do usuário root imediatamente. Implementar também medidas de segurança, como autenticação de dois fatores e monitoramento de atividades de login no servidor.",Failed password for invalid user root from 192.168.15.1 port 51978 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
141,2026-09-01 21:32:37,INFO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.7,"O log indica que um host (192.168.15.3) aceitou uma conexão SSH (publickey) de um host externo (192.168.15.7) que provavelmente pertence a uma rede interna ou privada. Esta conexão é normal e não representa um ataque conhecido, mas sugere que o host 192.168.15.3 está exposto à rede externa 192.168.15.0/24. É importante garantir que todas as conexões SSH são configuradas corretamente e que as chaves públicas são validadas para evitar problemas de segurança.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Sondagem concluída em 192.168.15.7. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O log indica que um host (192.168.15.3) aceitou uma conexão SSH (publickey) de um host externo (192.168.15.7) que provavelmente pertence a uma rede interna ou privada. Esta conexão é normal e não representa um ataque conhecido, mas sugere que o host 192.168.15.3 está exposto à rede externa 192.168.15.0/24. É importante garantir que todas as conexões SSH são configuradas corretamente e que as chaves públicas são validadas para evitar problemas de segurança.
Recomendação: Verificar e validar as chaves públicas SSH para garantir que somente hosts autorizados possam se conectar ao host 192.168.15.3. Mantenha atualizados os certificados SSH e a configuração de firewall para permitir apenas as conexões SSH provenientes da rede 192.168.15.0/24.",Accepted publickey for servidor from 192.168.15.7 port 34641 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
140,2026-09-01 21:31:54,INFO,Acesso SSH Autorizado,OPERACIONAL,45.33.32.156,"O log indica que um host com o IP 192.168.15.3 aceitou uma conexão SSH via chave pública de um host remoto com IP 45.33.32.156, localizado em Fremont, Estados Unidos. Este é um evento normal e esperado para uma conexão SSH segura entre dois hosts, não indicando nenhum problema de segurança imediato.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,"Provedor: Akamai Technologies, Inc. | Local: Fremont/United States | Serviços expostos na origem (45.33.32.156): Portas [22, 80]",qwen2.5:3b,"Parecer: O log indica que um host com o IP 192.168.15.3 aceitou uma conexão SSH via chave pública de um host remoto com IP 45.33.32.156, localizado em Fremont, Estados Unidos. Este é um evento normal e esperado para uma conexão SSH segura entre dois hosts, não indicando nenhum problema de segurança imediato.
Recomendação: Não há recomendação preventiva necessária para este evento, pois é considerado um comportamento normal do sistema.",Accepted publickey for servidor from 45.33.32.156 port 37004 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
139,2026-09-01 21:30:56,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,103.253.145.22,"O log indica um tentativa de login falhada com o usuário root usando uma porta de conexão SSH que está fora do range padrão (22). Esta tentativa de login ilícita representa um alto risco de ataque de força bruta ou ataque de dama, pois o atacante tentou obter acesso a um usuário administrativo. Além disso, o IP de origem é um servidor em Singapura, o que pode indicar um ataque internacional ou um atacante cibernético experiente.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: DIGITALOCEAN | Local: Singapore/Singapore | Serviços expostos na origem (103.253.145.22): Portas [22, 80, 443]",qwen2.5:3b,"Parecer: O log indica um tentativa de login falhada com o usuário root usando uma porta de conexão SSH que está fora do range padrão (22). Esta tentativa de login ilícita representa um alto risco de ataque de força bruta ou ataque de dama, pois o atacante tentou obter acesso a um usuário administrativo. Além disso, o IP de origem é um servidor em Singapura, o que pode indicar um ataque internacional ou um atacante cibernético experiente.
Recomendação: Implementar autenticação forte e multifator. Adotar regras de firewall para bloquear o uso de porta não padrão por usuários não autorizados. Implementar proteção contra ataques de força bruta e monitoramento de interações de usuários no sistema. Realizar backup e atualizações de sistemas a tempo. Alertar usuários sobre o uso correto de suas contas.",Failed password for invalid user root from 103.253.145.22 port 40675 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
138,2026-09-01 21:30:10,INFO,Acesso SSH Autorizado,OPERACIONAL,185.220.101.5,"O evento detectado é um aceite de chave pública para a máquina 192.168.15.3. A chave foi transmitida de 185.220.101.5, que está localizada na cidade de Brandenburg an der Havel, na Alemanha. Este tipo de evento não representa uma ameaça imediata à segurança, mas sim uma atividade normal de conexão SSH. A chave de acesso provavelmente pertence a um usuário que está tentando se conectar à máquina 192.168.15.3.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,Provedor: Stiftung Erneuerbare Freiheit | Local: Brandenburg an der Havel/Germany | Sondagem concluída em 185.220.101.5. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O evento detectado é um aceite de chave pública para a máquina 192.168.15.3. A chave foi transmitida de 185.220.101.5, que está localizada na cidade de Brandenburg an der Havel, na Alemanha. Este tipo de evento não representa uma ameaça imediata à segurança, mas sim uma atividade normal de conexão SSH. A chave de acesso provavelmente pertence a um usuário que está tentando se conectar à máquina 192.168.15.3.
Recomendação: Não tomar medidas preventivas neste caso, pois a atividade é considerada normal.",Accepted publickey for servidor from 185.220.101.5 port 55518 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
137,2026-09-01 21:29:11,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,103.253.145.22,"O evento de segurança no host 192.168.15.3 envolve uma tentativa de login falha para o usuário root de uma máquina remota com o IP 103.253.145.22, que está localizada em Singapore. Este ataque de login falha é considerado uma vulnerabilidade crítica na segurança da informação, pois permite o ataque à privacidade e integridade de dados. A origem deste ataque não é conhecida e as chances de ser um ataque em execução são altas.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: DIGITALOCEAN | Local: Singapore/Singapore | Serviços expostos na origem (103.253.145.22): Portas [22, 80, 443]",qwen2.5:3b,"Parecer: O evento de segurança no host 192.168.15.3 envolve uma tentativa de login falha para o usuário root de uma máquina remota com o IP 103.253.145.22, que está localizada em Singapore. Este ataque de login falha é considerado uma vulnerabilidade crítica na segurança da informação, pois permite o ataque à privacidade e integridade de dados. A origem deste ataque não é conhecida e as chances de ser um ataque em execução são altas.
Recomendação: Implementar um firewall rigoroso que rejeite todas as tentativas de login para o usuário root. Em seguida, realizar a identificação e a remoção da origem do ataque. Em caso de suspeita, realizar uma análise de log mais aprofundada para entender o comportamento do ataque e tomar medidas preventivas adequadas.",Failed password for invalid user root from 103.253.145.22 port 44490 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
